num_ordre;ref_matiere;quantite_prevue;quantite_utilisee;unite
OF-2024-0026;VIS-001;108.1;108.1;piece
OF-2024-0026;FIL-001;2.3;2.3;bobine
OF-2024-0027;BOIS-001;2.0;2.0;m3
OF-2024-0027;RES-001;11.2;11.2;L
OF-2024-0027;VIS-001;134.1;134.1;piece
OF-2024-0027;PEI-001;8.7;8.7;L
OF-2025-0028;BOIS-002;3.6;0.0;m2
OF-2025-0028;RES-001;6.2;0.0;L
OF-2025-0028;VIS-001;80.0;0.0;piece
OF-2024-0029;ALU-001;14.5;0.0;m2
OF-2024-0029;VIS-001;183.8;0.0;piece
OF-2024-0029;FIL-001;4.7;0.0;bobine
OF-2024-0029;PEI-001;11.1;0.0;L
OF-2024-0030;BOIS-001;7.5;7.5;m3
OF-2024-0030;ALU-001;35.5;35.5;m2
OF-2024-0030;VIS-001;395.0;395.0;piece
OF-2024-0030;ETR-001;20.5;20.5;m
OF-2024-0030;PEI-001;49.6;49.6;L
OF-2025-0031;BOIS-001;3.9;3.9;m3
OF-2025-0031;RES-001;12.4;12.4;L
OF-2025-0031;VIS-001;153.7;153.7;piece
OF-2025-0031;PEI-001;15.7;15.7;L
OF-2023-0032;ALU-001;16.9;16.9;m2
OF-2023-0032;VIS-001;250.5;250.5;piece
OF-2023-0032;ETR-001;10.2;10.2;m
OF-2023-0032;PEI-001;16.6;16.6;L
OF-2024-0033;BOIS-002;8.3;8.3;m2
OF-2024-0033;ALU-001;24.7;24.7;m2
OF-2024-0033;CAR-001;6.7;6.7;m2
OF-2024-0033;VIS-001;441.5;441.5;piece
OF-2025-0034;CAR-001;5.4;5.4;m2
OF-2025-0034;VIS-001;100.8;100.8;piece
OF-2025-0034;FIL-001;5.5;5.5;bobine
OF-2025-0034;MAS-001;18.2;18.2;L
OF-2025-0035;BOIS-001;4.6;0.6;m3
OF-2025-0035;ALU-001;41.8;5.4;m2
OF-2025-0035;VIS-001;521.3;67.8;piece
OF-2025-0035;ETR-001;27.2;3.5;m
OF-2025-0035;PEI-001;30.7;4.0;L
OF-2024-0036;ALU-001;13.5;13.5;m2
OF-2024-0036;VIS-001;183.0;183.0;piece
OF-2024-0036;ETR-001;15.6;15.6;m
OF-2024-0036;PEI-001;11.4;11.4;L
OF-2024-0037;BOIS-002;5.7;5.7;m2
OF-2024-0037;ALU-001;12.1;12.1;m2
OF-2024-0037;VIS-001;239.6;239.6;piece
OF-2024-0037;MAS-001;11.6;11.6;L
OF-2024-0038;CAR-001;3.6;3.6;m2
OF-2024-0038;VIS-001;64.0;64.0;piece
OF-2024-0038;FIL-001;3.6;3.6;bobine
OF-2024-0039;BOIS-001;1.8;1.8;m3
OF-2024-0039;RES-001;6.3;6.3;L
OF-2024-0039;VIS-001;116.9;116.9;piece
OF-2024-0039;PEI-001;11.4;11.4;L
OF-2024-0040;BOIS-002;5.5;5.5;m2
OF-2024-0040;RES-001;6.6;6.6;L
OF-2024-0040;VIS-001;99.6;99.6;piece
OF-2024-0041;ALU-001;10.6;10.6;m2
OF-2024-0041;VIS-001;170.2;170.2;piece
OF-2024-0041;FIL-001;3.8;3.8;bobine
OF-2024-0041;PEI-001;11.6;11.6;L
OF-2026-0042;BOIS-001;7.9;7.9;m3
OF-2026-0042;ALU-001;36.0;36.0;m2
OF-2026-0042;VIS-001;407.5;407.5;piece
OF-2026-0042;ETR-001;29.4;29.4;m
OF-2026-0042;PEI-001;49.3;49.3;L
OF-2023-0043;BOIS-001;2.6;2.6;m3
OF-2023-0043;RES-001;9.0;9.0;L
OF-2023-0043;VIS-001;263.7;263.7;piece
OF-2023-0043;PEI-001;19.5;19.5;L
OF-2025-0044;ALU-001;29.6;29.6;m2
OF-2025-0044;VIS-001;274.8;274.8;piece
OF-2025-0044;ETR-001;19.3;19.3;m
OF-2025-0044;PEI-001;15.4;15.4;L
OF-2023-0045;BOIS-002;7.9;7.9;m2
OF-2023-0045;ALU-001;27.1;27.1;m2
OF-2023-0045;CAR-001;4.4;4.4;m2
OF-2023-0045;VIS-001;468.5;468.5;piece
OF-2024-0046;CAR-001;4.8;4.8;m2
OF-2024-0046;VIS-001;86.4;86.4;piece
OF-2024-0046;FIL-001;4.9;4.9;bobine
OF-2024-0046;MAS-001;10.8;10.8;L
OF-2024-0047;BOIS-001;5.8;5.8;m3
OF-2024-0047;ALU-001;38.5;38.5;m2
OF-2024-0047;VIS-001;576.0;576.0;piece
OF-2024-0047;ETR-001;17.3;17.3;m
OF-2024-0047;PEI-001;35.9;35.9;L
OF-2025-0048;ALU-001;14.7;0.0;m2
OF-2025-0048;VIS-001;196.5;0.0;piece
OF-2025-0048;ETR-001;9.8;0.0;m
OF-2025-0048;PEI-001;8.8;0.0;L
OF-2023-0049;BOIS-002;5.7;5.7;m2
OF-2023-0049;ALU-001;14.9;14.9;m2
OF-2023-0049;VIS-001;221.7;221.7;piece
OF-2023-0049;MAS-001;9.7;9.7;L
OF-2026-0050;CAR-001;3.4;3.4;m2
OF-2026-0050;VIS-001;81.2;81.2;piece
OF-2026-0050;FIL-001;3.6;3.6;bobine
OF-2026-0051;BOIS-001;2.5;0.8;m3
OF-2026-0051;RES-001;11.3;3.7;L
OF-2026-0051;VIS-001;154.1;50.3;piece
OF-2026-0051;PEI-001;10.2;3.3;L
OF-2024-0052;BOIS-002;3.8;3.0;m2
OF-2024-0052;RES-001;6.4;5.1;L
OF-2024-0052;VIS-001;61.5;49.3;piece
OF-2026-0053;ALU-001;11.1;11.1;m2
OF-2026-0053;VIS-001;115.3;115.3;piece
OF-2026-0053;FIL-001;3.0;3.0;bobine
OF-2026-0053;PEI-001;10.7;10.7;L
OF-2024-0054;BOIS-001;5.8;5.8;m3
OF-2024-0054;ALU-001;33.2;33.2;m2
OF-2024-0054;VIS-001;300.1;300.1;piece
OF-2024-0054;ETR-001;34.5;34.5;m
OF-2024-0054;PEI-001;49.2;49.2;L
OF-2024-0055;BOIS-001;3.2;3.2;m3
OF-2024-0055;RES-001;14.2;14.2;L
OF-2024-0055;VIS-001;170.6;170.6;piece
OF-2024-0055;PEI-001;17.6;17.6;L
OF-2026-0056;ALU-001;21.4;21.4;m2
OF-2026-0056;VIS-001;324.6;324.6;piece
OF-2026-0056;ETR-001;10.6;10.6;m
OF-2026-0056;PEI-001;13.0;13.0;L
OF-2024-0057;BOIS-002;8.6;8.6;m2
OF-2024-0057;ALU-001;34.8;34.8;m2
OF-2024-0057;CAR-001;6.6;6.6;m2
OF-2024-0057;VIS-001;332.6;332.6;piece
OF-2024-0058;CAR-001;4.4;1.5;m2
OF-2024-0058;VIS-001;108.5;36.5;piece
OF-2024-0058;FIL-001;3.0;1.0;bobine
OF-2024-0058;MAS-001;11.9;4.0;L
OF-2024-0059;BOIS-001;5.2;5.2;m3
OF-2024-0059;ALU-001;45.6;45.6;m2
OF-2024-0059;VIS-001;525.1;525.1;piece
OF-2024-0059;ETR-001;28.7;28.7;m
OF-2024-0059;PEI-001;30.4;30.4;L
OF-2024-0060;ALU-001;13.2;13.2;m2
OF-2024-0060;VIS-001;132.7;132.7;piece
OF-2024-0060;ETR-001;10.5;10.5;m
OF-2024-0060;PEI-001;8.2;8.2;L
OF-2024-0061;BOIS-002;7.2;0.0;m2
OF-2024-0061;ALU-001;14.2;0.0;m2
OF-2024-0061;VIS-001;259.9;0.0;piece
OF-2024-0061;MAS-001;11.3;0.0;L
OF-2026-0062;CAR-001;3.2;3.2;m2
OF-2026-0062;VIS-001;94.4;94.4;piece
OF-2026-0062;FIL-001;3.1;3.1;bobine
OF-2023-0063;BOIS-001;2.2;2.2;m3
OF-2023-0063;RES-001;9.3;9.3;L
OF-2023-0063;VIS-001;87.8;87.8;piece
OF-2023-0063;PEI-001;6.5;6.5;L
OF-2024-0064;BOIS-002;5.5;5.5;m2
OF-2024-0064;RES-001;6.5;6.5;L
OF-2024-0064;VIS-001;115.1;115.1;piece
OF-2025-0065;ALU-001;12.9;12.9;m2
OF-2025-0065;VIS-001;158.2;158.2;piece
OF-2025-0065;FIL-001;4.1;4.1;bobine
OF-2025-0065;PEI-001;11.8;11.8;L
OF-2024-0066;BOIS-001;6.0;6.0;m3
OF-2024-0066;ALU-001;33.8;33.8;m2
OF-2024-0066;VIS-001;495.8;495.8;piece
OF-2024-0066;ETR-001;32.1;32.1;m
OF-2024-0066;PEI-001;31.0;31.0;L
OF-2023-0067;BOIS-001;3.7;0.0;m3
OF-2023-0067;RES-001;13.5;0.0;L
OF-2023-0067;VIS-001;299.2;0.0;piece
OF-2023-0067;PEI-001;17.5;0.0;L
OF-2025-0068;ALU-001;16.1;0.0;m2
OF-2025-0068;VIS-001;215.7;0.0;piece
OF-2025-0068;ETR-001;16.8;0.0;m
OF-2025-0068;PEI-001;10.6;0.0;L
OF-2025-0069;BOIS-002;7.6;7.6;m2
OF-2025-0069;ALU-001;30.6;30.6;m2
OF-2025-0069;CAR-001;4.5;4.5;m2
OF-2025-0069;VIS-001;402.9;402.9;piece
OF-2024-0070;CAR-001;4.5;4.5;m2
OF-2024-0070;VIS-001;83.4;83.4;piece
OF-2024-0070;FIL-001;4.8;4.8;bobine
OF-2024-0070;MAS-001;16.5;16.5;L
OF-2024-0071;BOIS-001;4.1;4.1;m3
OF-2024-0071;ALU-001;48.4;48.4;m2
OF-2024-0071;VIS-001;599.7;599.7;piece
OF-2024-0071;ETR-001;25.2;25.2;m
OF-2024-0071;PEI-001;29.1;29.1;L
OF-2025-0072;ALU-001;15.3;15.3;m2
OF-2025-0072;VIS-001;176.7;176.7;piece
OF-2025-0072;ETR-001;9.3;9.3;m
OF-2025-0072;PEI-001;13.7;13.7;L
OF-2024-0073;BOIS-002;7.0;7.0;m2
OF-2024-0073;ALU-001;13.4;13.4;m2
OF-2024-0073;VIS-001;266.0;266.0;piece
OF-2024-0073;MAS-001;12.0;12.0;L
OF-2024-0074;CAR-001;2.9;2.9;m2
OF-2024-0074;VIS-001;74.6;74.6;piece
OF-2024-0074;FIL-001;3.6;3.6;bobine
OF-2024-0075;BOIS-001;2.7;2.7;m3
OF-2024-0075;RES-001;8.0;8.0;L
OF-2024-0075;VIS-001;103.1;103.1;piece
OF-2024-0075;PEI-001;6.7;6.7;L
OF-2025-0076;BOIS-002;3.0;0.3;m2
OF-2025-0076;RES-001;7.7;0.7;L
OF-2025-0076;VIS-001;85.5;7.3;piece
OF-2024-0077;ALU-001;9.3;9.3;m2
OF-2024-0077;VIS-001;176.2;176.2;piece
OF-2024-0077;FIL-001;3.4;3.4;bobine
OF-2024-0077;PEI-001;14.8;14.8;L
OF-2026-0078;BOIS-001;5.4;4.0;m3
OF-2026-0078;ALU-001;29.7;22.1;m2
OF-2026-0078;VIS-001;313.5;233.0;piece
OF-2026-0078;ETR-001;20.4;15.2;m
OF-2026-0078;PEI-001;31.6;23.5;L
OF-2024-0079;BOIS-001;3.6;2.9;m3
OF-2024-0079;RES-001;9.8;7.8;L
OF-2024-0079;VIS-001;269.5;213.7;piece
OF-2024-0079;PEI-001;21.4;17.0;L
OF-2023-0080;ALU-001;22.1;22.1;m2
OF-2023-0080;VIS-001;303.3;303.3;piece
OF-2023-0080;ETR-001;14.0;14.0;m
OF-2023-0080;PEI-001;17.1;17.1;L
OF-2024-0081;BOIS-002;7.8;7.8;m2
OF-2024-0081;ALU-001;31.8;31.8;m2
OF-2024-0081;CAR-001;4.1;4.1;m2
OF-2024-0081;VIS-001;460.4;460.4;piece
OF-2026-0082;CAR-001;5.6;5.6;m2
OF-2026-0082;VIS-001;124.7;124.7;piece
OF-2026-0082;FIL-001;4.3;4.3;bobine
OF-2026-0082;MAS-001;11.5;11.5;L
OF-2023-0083;BOIS-001;4.7;4.7;m3
OF-2023-0083;ALU-001;45.2;45.2;m2
OF-2023-0083;VIS-001;469.7;469.7;piece
OF-2023-0083;ETR-001;18.4;18.4;m
OF-2023-0083;PEI-001;30.2;30.2;L
OF-2025-0084;ALU-001;21.7;21.7;m2
OF-2025-0084;VIS-001;202.6;202.6;piece
OF-2025-0084;ETR-001;10.9;10.9;m
OF-2025-0084;PEI-001;9.9;9.9;L
OF-2024-0085;BOIS-002;6.0;6.0;m2
OF-2024-0085;ALU-001;18.8;18.8;m2
OF-2024-0085;VIS-001;197.1;197.1;piece
OF-2024-0085;MAS-001;13.3;13.3;L
OF-2024-0086;CAR-001;2.6;2.6;m2
OF-2024-0086;VIS-001;82.0;82.0;piece
OF-2024-0086;FIL-001;3.3;3.3;bobine
OF-2025-0087;BOIS-001;1.7;1.7;m3
OF-2025-0087;RES-001;7.2;7.2;L
OF-2025-0087;VIS-001;154.8;154.8;piece
OF-2025-0087;PEI-001;11.9;11.9;L
OF-2024-0088;BOIS-002;4.4;4.4;m2
OF-2024-0088;RES-001;7.6;7.6;L
OF-2024-0088;VIS-001;83.9;83.9;piece
OF-2024-0089;ALU-001;11.4;11.4;m2
OF-2024-0089;VIS-001;103.1;103.1;piece
OF-2024-0089;FIL-001;4.6;4.6;bobine
OF-2024-0089;PEI-001;11.9;11.9;L
OF-2025-0090;BOIS-001;6.1;0.0;m3
OF-2025-0090;ALU-001;25.2;0.0;m2
OF-2025-0090;VIS-001;408.6;0.0;piece
OF-2025-0090;ETR-001;32.0;0.0;m
OF-2025-0090;PEI-001;31.3;0.0;L
OF-2025-0091;BOIS-001;3.4;3.4;m3
OF-2025-0091;RES-001;9.4;9.4;L
OF-2025-0091;VIS-001;208.0;208.0;piece
OF-2025-0091;PEI-001;24.9;24.9;L
OF-2024-0092;ALU-001;19.0;19.0;m2
OF-2024-0092;VIS-001;378.8;378.8;piece
OF-2024-0092;ETR-001;13.3;13.3;m
OF-2024-0092;PEI-001;12.3;12.3;L
OF-2024-0093;BOIS-002;8.9;8.9;m2
OF-2024-0093;ALU-001;25.9;25.9;m2
OF-2024-0093;CAR-001;5.9;5.9;m2
OF-2024-0093;VIS-001;357.3;357.3;piece
OF-2023-0094;CAR-001;3.8;3.8;m2
OF-2023-0094;VIS-001;144.2;144.2;piece
OF-2023-0094;FIL-001;5.9;5.9;bobine
OF-2023-0094;MAS-001;12.6;12.6;L
OF-2025-0095;BOIS-001;6.1;6.1;m3
OF-2025-0095;ALU-001;39.5;39.5;m2
OF-2025-0095;VIS-001;504.9;504.9;piece
OF-2025-0095;ETR-001;21.8;21.8;m
OF-2025-0095;PEI-001;36.8;36.8;L
OF-2023-0096;ALU-001;18.4;18.4;m2
OF-2023-0096;VIS-001;136.0;136.0;piece
OF-2023-0096;ETR-001;12.3;12.3;m
OF-2023-0096;PEI-001;14.7;14.7;L
OF-2024-0097;BOIS-002;8.0;8.0;m2
OF-2024-0097;ALU-001;15.3;15.3;m2
OF-2024-0097;VIS-001;250.9;250.9;piece
OF-2024-0097;MAS-001;14.2;14.2;L
OF-2023-0098;CAR-001;3.7;3.7;m2
OF-2023-0098;VIS-001;66.3;66.3;piece
OF-2023-0098;FIL-001;3.7;3.7;bobine
OF-2024-0099;BOIS-001;2.7;2.7;m3
OF-2024-0099;RES-001;11.2;11.2;L
OF-2024-0099;VIS-001;158.9;158.9;piece
OF-2024-0099;PEI-001;9.2;9.2;L
OF-2025-0100;BOIS-002;5.7;0.9;m2
OF-2025-0100;RES-001;7.3;1.2;L
OF-2025-0100;VIS-001;98.9;16.4;piece
OF-2026-0101;ALU-001;12.0;12.0;m2
OF-2026-0101;VIS-001;110.3;110.3;piece
OF-2026-0101;FIL-001;4.9;4.9;bobine
OF-2026-0101;PEI-001;14.9;14.9;L
OF-2026-0102;BOIS-001;8.0;8.0;m3
OF-2026-0102;ALU-001;32.8;32.8;m2
OF-2026-0102;VIS-001;402.9;402.9;piece
OF-2026-0102;ETR-001;20.7;20.7;m
OF-2026-0102;PEI-001;41.6;41.6;L
OF-2024-0103;BOIS-001;3.6;3.6;m3
OF-2024-0103;RES-001;8.1;8.1;L
OF-2024-0103;VIS-001;184.5;184.5;piece
OF-2024-0103;PEI-001;23.9;23.9;L
OF-2023-0104;ALU-001;21.5;21.5;m2
OF-2023-0104;VIS-001;222.9;222.9;piece
OF-2023-0104;ETR-001;19.1;19.1;m
OF-2023-0104;PEI-001;15.1;15.1;L
OF-2026-0105;BOIS-002;8.2;0.0;m2
OF-2026-0105;ALU-001;32.3;0.0;m2
OF-2026-0105;CAR-001;4.8;0.0;m2
OF-2026-0105;VIS-001;376.7;0.0;piece
OF-2023-0106;CAR-001;5.8;5.8;m2
OF-2023-0106;VIS-001;125.5;125.5;piece
OF-2023-0106;FIL-001;4.9;4.9;bobine
OF-2023-0106;MAS-001;10.9;10.9;L
OF-2023-0107;BOIS-001;4.6;4.6;m3
OF-2023-0107;ALU-001;36.2;36.2;m2
OF-2023-0107;VIS-001;566.6;566.6;piece
OF-2023-0107;ETR-001;23.8;23.8;m
OF-2023-0107;PEI-001;37.5;37.5;L
OF-2023-0108;ALU-001;16.6;16.6;m2
OF-2023-0108;VIS-001;217.7;217.7;piece
OF-2023-0108;ETR-001;15.3;15.3;m
OF-2023-0108;PEI-001;8.0;8.0;L
OF-2024-0109;BOIS-002;7.3;7.3;m2
OF-2024-0109;ALU-001;13.3;13.3;m2
OF-2024-0109;VIS-001;267.4;267.4;piece
OF-2024-0109;MAS-001;8.3;8.3;L
OF-2025-0110;CAR-001;2.1;0.2;m2
OF-2025-0110;VIS-001;114.3;12.7;piece
OF-2025-0110;FIL-001;2.8;0.3;bobine
OF-2025-0111;BOIS-001;3.0;3.0;m3
OF-2025-0111;RES-001;6.0;6.0;L
OF-2025-0111;VIS-001;115.8;115.8;piece
OF-2025-0111;PEI-001;7.9;7.9;L
OF-2025-0112;BOIS-002;3.1;0.0;m2
OF-2025-0112;RES-001;6.5;0.0;L
OF-2025-0112;VIS-001;82.0;0.0;piece
OF-2024-0113;ALU-001;11.9;11.9;m2
OF-2024-0113;VIS-001;137.8;137.8;piece
OF-2024-0113;FIL-001;4.2;4.2;bobine
OF-2024-0113;PEI-001;12.0;12.0;L
OF-2025-0114;BOIS-001;6.6;6.6;m3
OF-2025-0114;ALU-001;33.1;33.1;m2
OF-2025-0114;VIS-001;411.6;411.6;piece
OF-2025-0114;ETR-001;27.8;27.8;m
OF-2025-0114;PEI-001;42.7;42.7;L
OF-2023-0115;BOIS-001;2.7;2.7;m3
OF-2023-0115;RES-001;10.6;10.6;L
OF-2023-0115;VIS-001;238.7;238.7;piece
OF-2023-0115;PEI-001;16.8;16.8;L
OF-2026-0116;ALU-001;15.4;15.4;m2
OF-2026-0116;VIS-001;318.9;318.9;piece
OF-2026-0116;ETR-001;11.3;11.3;m
OF-2026-0116;PEI-001;19.4;19.4;L
OF-2024-0117;BOIS-002;9.4;9.4;m2
OF-2024-0117;ALU-001;29.5;29.5;m2
OF-2024-0117;CAR-001;6.3;6.3;m2
OF-2024-0117;VIS-001;466.2;466.2;piece
OF-2024-0118;CAR-001;4.7;4.7;m2
OF-2024-0118;VIS-001;80.4;80.4;piece
OF-2024-0118;FIL-001;5.8;5.8;bobine
OF-2024-0118;MAS-001;19.0;19.0;L
OF-2025-0119;BOIS-001;5.0;5.0;m3
OF-2025-0119;ALU-001;36.3;36.3;m2
OF-2025-0119;VIS-001;589.3;589.3;piece
OF-2025-0119;ETR-001;21.9;21.9;m
OF-2025-0119;PEI-001;31.9;31.9;L
OF-2023-0120;ALU-001;15.0;0.0;m2
OF-2023-0120;VIS-001;198.3;0.0;piece
OF-2023-0120;ETR-001;14.3;0.0;m
OF-2023-0120;PEI-001;8.7;0.0;L
OF-2024-0121;BOIS-002;5.7;5.7;m2
OF-2024-0121;ALU-001;11.8;11.8;m2
OF-2024-0121;VIS-001;168.3;168.3;piece
OF-2024-0121;MAS-001;14.6;14.6;L
OF-2025-0122;CAR-001;2.1;2.1;m2
OF-2025-0122;VIS-001;102.4;102.4;piece
OF-2025-0122;FIL-001;4.0;4.0;bobine
OF-2024-0123;BOIS-001;1.7;0.3;m3
OF-2024-0123;RES-001;9.3;1.6;L
OF-2024-0123;VIS-001;134.5;22.8;piece
OF-2024-0123;PEI-001;8.2;1.4;L
OF-2023-0124;BOIS-002;3.0;3.0;m2
OF-2023-0124;RES-001;6.3;6.3;L
OF-2023-0124;VIS-001;67.6;67.6;piece
OF-2025-0125;ALU-001;8.4;8.4;m2
OF-2025-0125;VIS-001;139.9;139.9;piece
OF-2025-0125;FIL-001;4.8;4.8;bobine
OF-2025-0125;PEI-001;14.3;14.3;L
OF-2025-0126;BOIS-001;5.6;5.6;m3
OF-2025-0126;ALU-001;27.0;27.0;m2
OF-2025-0126;VIS-001;469.5;469.5;piece
OF-2025-0126;ETR-001;27.1;27.1;m
OF-2025-0126;PEI-001;33.6;33.6;L
OF-2024-0127;BOIS-001;2.0;2.0;m3
OF-2024-0127;RES-001;8.6;8.6;L
OF-2024-0127;VIS-001;228.0;228.0;piece
OF-2024-0127;PEI-001;24.5;24.5;L
OF-2024-0128;ALU-001;18.6;18.6;m2
OF-2024-0128;VIS-001;227.2;227.2;piece
OF-2024-0128;ETR-001;14.2;14.2;m
OF-2024-0128;PEI-001;13.9;13.9;L
OF-2025-0129;BOIS-002;9.1;9.1;m2
OF-2025-0129;ALU-001;34.1;34.1;m2
OF-2025-0129;CAR-001;6.6;6.6;m2
OF-2025-0129;VIS-001;450.6;450.6;piece
OF-2023-0130;CAR-001;4.8;4.8;m2
OF-2023-0130;VIS-001;139.1;139.1;piece
OF-2023-0130;FIL-001;5.7;5.7;bobine
OF-2023-0130;MAS-001;11.1;11.1;L
OF-2023-0131;BOIS-001;6.2;6.2;m3
OF-2023-0131;ALU-001;30.9;30.9;m2
OF-2023-0131;VIS-001;440.7;440.7;piece
OF-2023-0131;ETR-001;29.2;29.2;m
OF-2023-0131;PEI-001;37.9;37.9;L
OF-2026-0132;ALU-001;12.4;12.4;m2
OF-2026-0132;VIS-001;180.1;180.1;piece
OF-2026-0132;ETR-001;14.5;14.5;m
OF-2026-0132;PEI-001;12.2;12.2;L
OF-2023-0133;BOIS-002;7.5;7.5;m2
OF-2023-0133;ALU-001;15.7;15.7;m2
OF-2023-0133;VIS-001;190.6;190.6;piece
OF-2023-0133;MAS-001;13.0;13.0;L
OF-2024-0134;CAR-001;2.8;2.8;m2
OF-2024-0134;VIS-001;93.3;93.3;piece
OF-2024-0134;FIL-001;2.4;2.4;bobine
OF-2025-0135;BOIS-001;2.9;2.9;m3
OF-2025-0135;RES-001;10.6;10.6;L
OF-2025-0135;VIS-001;113.1;113.1;piece
OF-2025-0135;PEI-001;10.4;10.4;L
OF-2024-0136;BOIS-002;3.6;3.6;m2
OF-2024-0136;RES-001;7.1;7.1;L
OF-2024-0136;VIS-001;106.4;106.4;piece
OF-2023-0137;ALU-001;10.5;10.5;m2
