num_ordre;num_commande;ref_bateau;date_creation;date_debut_prevue;date_fin_prevue;temps_production_estime_h;temps_production_reel_h;statut
OF-2024-0066;CMD-2024-0066;BAT-2024-0066;2024-11-03;2024-11-22;2025-01-10;399;399;TERMINE
OF-2023-0067;CMD-2026-0067;BAT-2023-0067;2025-06-10;2025-06-21;2025-07-24;264;0;PLANIFIE
OF-2025-0068;CMD-2026-0068;BAT-2025-0068;2025-11-23;2025-12-01;2026-01-24;439;0;PLANIFIE
OF-2025-0069;CMD-2025-0069;BAT-2025-0069;2023-03-01;2023-03-21;2023-05-10;401;401;TERMINE
OF-2024-0070;CMD-2023-0070;BAT-2024-0070;2023-11-03;2023-11-21;2023-12-08;137;137;TERMINE
OF-2024-0071;CMD-2023-0071;BAT-2024-0071;2022-10-06;2022-10-22;2022-12-03;336;336;TERMINE
OF-2025-0072;CMD-2026-0072;BAT-2025-0072;2024-06-02;2024-06-24;2024-08-25;500;500;TERMINE
OF-2024-0073;CMD-2023-0073;BAT-2024-0073;2023-10-07;2023-10-27;2023-12-22;452;452;TERMINE
OF-2024-0074;CMD-2025-0074;BAT-2024-0074;2023-10-16;2023-10-30;2023-12-03;276;276;TERMINE
OF-2024-0075;CMD-2025-0075;BAT-2024-0075;2024-04-08;2024-04-27;2024-05-23;213;213;TERMINE
OF-2025-0076;CMD-2025-0076;BAT-2025-0076;2025-05-21;2025-06-16;2025-08-09;435;37;EN_COURS
OF-2024-0077;CMD-2023-0077;BAT-2024-0077;2022-08-31;2022-09-12;2022-10-11;235;235;TERMINE
OF-2026-0078;CMD-2024-0078;BAT-2026-0078;2025-11-22;2025-12-20;2026-02-28;565;420;EN_COURS
OF-2024-0079;CMD-2023-0079;BAT-2024-0079;2025-12-23;2026-01-02;2026-01-23;174;138;EN_COURS
OF-2023-0080;CMD-2024-0080;BAT-2023-0080;2022-01-13;2022-02-06;2022-02-17;95;95;TERMINE
OF-2024-0081;CMD-2023-0081;BAT-2024-0081;2023-02-06;2023-02-15;2023-03-19;257;257;TERMINE
OF-2026-0082;CMD-2025-0082;BAT-2026-0082;2022-10-04;2022-11-02;2023-01-03;498;498;TERMINE
OF-2023-0083;CMD-2024-0083;BAT-2023-0083;2022-12-04;2022-12-12;2023-01-17;288;288;TERMINE
OF-2025-0084;CMD-2023-0084;BAT-2025-0084;2024-12-26;2025-01-03;2025-03-13;552;552;TERMINE
OF-2024-0085;CMD-2025-0085;BAT-2024-0085;2023-09-27;2023-10-08;2023-11-02;206;206;TERMINE
OF-2024-0086;CMD-2024-0086;BAT-2024-0086;2022-04-07;2022-04-15;2022-06-18;519;519;TERMINE
OF-2025-0087;CMD-2024-0087;BAT-2025-0087;2022-10-26;2022-11-08;2022-11-27;158;158;TERMINE
OF-2024-0088;CMD-2026-0088;BAT-2024-0088;2025-01-05;2025-01-31;2025-04-13;583;583;TERMINE
OF-2024-0089;CMD-2023-0089;BAT-2024-0089;2023-05-13;2023-06-10;2023-07-27;380;380;TERMINE
OF-2025-0090;CMD-2024-0090;BAT-2025-0090;2025-11-04;2025-11-16;2025-12-05;154;0;TERMINE
OF-2025-0091;CMD-2025-0091;BAT-2025-0091;2023-05-21;2023-05-29;2023-07-10;341;341;TERMINE
OF-2024-0092;CMD-2023-0092;BAT-2024-0092;2023-10-28;2023-11-27;2024-02-09;595;595;TERMINE
OF-2024-0093;CMD-2025-0093;BAT-2024-0093;2022-01-25;2022-02-02;2022-02-25;186;186;TERMINE
OF-2023-0094;CMD-2025-0094;BAT-2023-0094;2024-05-20;2024-06-07;2024-07-09;256;256;TERMINE
OF-2025-0095;CMD-2023-0095;BAT-2025-0095;2022-04-20;2022-05-14;2022-06-19;295;295;TERMINE
OF-2023-0096;CMD-2023-0096;BAT-2023-0096;2022-02-01;2022-02-28;2022-04-20;408;408;TERMINE
OF-2024-0097;CMD-2024-0097;BAT-2024-0097;2025-01-08;2025-02-07;2025-04-07;475;475;TERMINE
OF-2023-0098;CMD-2024-0098;BAT-2023-0098;2023-09-19;2023-10-06;2023-12-16;572;572;TERMINE
OF-2024-0099;CMD-2024-0099;BAT-2024-0099;2023-06-04;2023-06-23;2023-08-01;318;318;TERMINE
OF-2025-0100;CMD-2024-0100;BAT-2025-0100;2025-12-26;2026-01-10;2026-02-11;259;43;EN_COURS
OF-2026-0101;CMD-2023-0101;BAT-2026-0101;2022-11-30;2022-12-23;2023-02-01;321;321;TERMINE
OF-2026-0102;CMD-2026-0102;BAT-2026-0102;2022-03-03;2022-03-22;2022-04-21;240;240;TERMINE
OF-2024-0103;CMD-2025-0103;BAT-2024-0103;2022-12-10;2022-12-21;2023-01-15;204;204;TERMINE
OF-2023-0104;CMD-2026-0104;BAT-2023-0104;2022-05-10;2022-06-08;2022-08-06;475;475;TERMINE
OF-2026-0105;CMD-2024-0105;BAT-2026-0105;2026-01-04;2026-01-23;2026-02-17;204;0;PLANIFIE
OF-2023-0106;CMD-2026-0106;BAT-2023-0106;2023-08-15;2023-08-23;2023-10-02;320;320;TERMINE
OF-2023-0107;CMD-2024-0107;BAT-2023-0107;2024-09-15;2024-09-30;2024-12-02;511;511;TERMINE
OF-2023-0108;CMD-2025-0108;BAT-2023-0108;2022-03-13;2022-03-20;2022-04-24;283;283;TERMINE
OF-2024-0109;CMD-2025-0109;BAT-2024-0109;2023-11-06;2023-12-06;2024-02-02;468;468;TERMINE
OF-2025-0110;CMD-2024-0110;BAT-2025-0110;2025-09-30;2025-10-19;2025-12-22;512;57;EN_COURS
OF-2025-0111;CMD-2025-0111;BAT-2025-0111;2023-09-05;2023-09-14;2023-10-05;172;172;TERMINE
OF-2025-0112;CMD-2025-0112;BAT-2025-0112;2025-06-11;2025-07-06;2025-08-19;355;0;TERMINE
OF-2024-0113;CMD-2025-0113;BAT-2024-0113;2024-05-30;2024-06-19;2024-07-24;287;287;TERMINE
OF-2025-0114;CMD-2024-0114;BAT-2025-0114;2022-11-23;2022-12-12;2023-02-18;550;550;TERMINE
OF-2023-0115;CMD-2024-0115;BAT-2023-0115;2024-08-25;2024-09-17;2024-11-28;576;576;TERMINE
OF-2026-0116;CMD-2024-0116;BAT-2026-0116;2022-06-08;2022-07-03;2022-09-09;545;545;TERMINE
OF-2024-0117;CMD-2025-0117;BAT-2024-0117;2024-06-02;2024-07-01;2024-08-25;447;447;TERMINE
OF-2024-0118;CMD-2026-0118;BAT-2024-0118;2024-02-18;2024-02-25;2024-04-13;389;389;TERMINE
OF-2025-0119;CMD-2026-0119;BAT-2025-0119;2022-10-13;2022-10-22;2022-12-30;552;552;TERMINE
OF-2023-0120;CMD-2024-0120;BAT-2023-0120;2025-10-06;2025-11-05;2025-12-02;221;0;TERMINE
OF-2024-0121;CMD-2023-0121;BAT-2024-0121;2023-07-29;2023-08-07;2023-10-07;492;492;TERMINE
OF-2025-0122;CMD-2025-0122;BAT-2025-0122;2024-11-15;2024-12-10;2024-12-29;156;156;TERMINE
OF-2024-0123;CMD-2025-0123;BAT-2024-0123;2026-01-16;2026-02-15;2026-04-12;455;77;EN_COURS
OF-2023-0124;CMD-2024-0124;BAT-2023-0124;2023-10-16;2023-11-05;2024-01-18;597;597;TERMINE
OF-2025-0125;CMD-2025-0125;BAT-2025-0125;2024-10-14;2024-10-21;2024-11-02;98;98;TERMINE
OF-2025-0126;CMD-2023-0126;BAT-2025-0126;2023-07-18;2023-07-26;2023-10-02;550;550;TERMINE
OF-2024-0127;CMD-2024-0127;BAT-2024-0127;2025-02-20;2025-03-18;2025-05-08;415;415;TERMINE
OF-2024-0128;CMD-2025-0128;BAT-2024-0128;2022-11-26;2022-12-25;2023-02-06;348;348;TERMINE
OF-2025-0129;CMD-2024-0129;BAT-2025-0129;2022-01-13;2022-02-04;2022-02-22;147;147;TERMINE
OF-2023-0130;CMD-2024-0130;BAT-2023-0130;2022-07-07;2022-07-17;2022-09-12;460;460;TERMINE
OF-2023-0131;CMD-2025-0131;BAT-2023-0131;2023-10-08;2023-10-20;2023-12-23;517;517;TERMINE
OF-2026-0132;CMD-2024-0132;BAT-2026-0132;2022-04-20;2022-05-15;2022-06-11;219;219;TERMINE
OF-2023-0133;CMD-2024-0133;BAT-2023-0133;2022-01-10;2022-02-01;2022-03-15;342;342;TERMINE
OF-2024-0134;CMD-2025-0134;BAT-2024-0134;2023-04-10;2023-05-07;2023-06-04;224;224;TERMINE
OF-2025-0135;CMD-2026-0135;BAT-2025-0135;2023-12-07;2023-12-18;2024-01-29;343;343;TERMINE
OF-2024-0136;CMD-2023-0136;BAT-2024-0136;2024-08-29;2024-09-11;2024-10-30;398;398;TERMINE
OF-2023-0137;CMD-2023-0137;BAT-2023-0137;2023-06-13;2023-06-30;2023-07-15;126;126;TERMINE
OF-2024-0138;CMD-2024-0138;BAT-2024-0138;2022-05-21;2022-06-11;2022-07-28;383;383;TERMINE
OF-2024-0139;CMD-2024-0139;BAT-2024-0139;2023-11-22;2023-12-03;2024-02-04;510;510;TERMINE
OF-2025-0140;CMD-2025-0140;BAT-2025-0140;2024-07-06;2024-07-19;2024-08-26;304;304;TERMINE
OF-2024-0141;CMD-2024-0141;BAT-2024-0141;2023-10-14;2023-10-28;2023-12-25;471;471;TERMINE
OF-2026-0142;CMD-2024-0142;BAT-2026-0142;2024-06-28;2024-07-13;2024-07-29;131;131;TERMINE
OF-2025-0143;CMD-2025-0143;BAT-2025-0143;2022-11-23;2022-12-06;2023-01-08;267;267;TERMINE
OF-2026-0144;CMD-2026-0144;BAT-2026-0144;2025-07-12;2025-08-10;2025-09-28;396;0;PLANIFIE
OF-2023-0145;CMD-2025-0145;BAT-2023-0145;2022-07-25;2022-08-15;2022-10-28;599;599;TERMINE
OF-2024-0146;CMD-2023-0146;BAT-2024-0146;2025-12-13;2026-01-03;2026-03-03;478;0;PLANIFIE
OF-2025-0147;CMD-2024-0147;BAT-2025-0147;2026-01-08;2026-02-03;2026-04-01;459;171;EN_COURS
OF-2024-0148;CMD-2025-0148;BAT-2024-0148;2022-01-02;2022-01-11;2022-02-07;218;218;TERMINE
OF-2025-0149;CMD-2024-0149;BAT-2025-0149;2022-05-02;2022-05-09;2022-06-08;241;241;TERMINE
OF-2025-0150;CMD-2026-0150;BAT-2025-0150;2023-03-16;2023-04-15;2023-05-18;267;267;TERMINE
OF-2025-0151;CMD-2025-0151;BAT-2025-0151;2022-03-07;2022-03-28;2022-05-13;369;369;TERMINE
OF-2024-0152;CMD-2025-0152;BAT-2024-0152;2024-08-07;2024-09-02;2024-09-18;130;130;TERMINE
OF-2024-0153;CMD-2024-0153;BAT-2024-0153;2025-09-26;2025-10-05;2025-10-21;129;0;PLANIFIE
OF-2024-0154;CMD-2023-0154;BAT-2024-0154;2026-01-17;2026-01-24;2026-03-01;288;0;PLANIFIE
OF-2025-0155;CMD-2025-0155;BAT-2025-0155;2022-04-04;2022-04-27;2022-06-12;371;371;TERMINE
OF-2025-0156;CMD-2025-0156;BAT-2025-0156;2025-06-14;2025-07-10;2025-08-11;258;98;EN_COURS
OF-2024-0157;CMD-2023-0157;BAT-2024-0157;2022-04-04;2022-04-22;2022-06-20;477;477;TERMINE
OF-2023-0158;CMD-2024-0158;BAT-2023-0158;2025-08-12;2025-08-19;2025-10-18;487;0;TERMINE
OF-2023-0159;CMD-2023-0159;BAT-2023-0159;2025-01-24;2025-02-12;2025-04-19;529;529;TERMINE
OF-2024-0160;CMD-2025-0160;BAT-2024-0160;2025-11-23;2025-12-21;2026-01-16;208;179;EN_COURS
OF-2025-0161;CMD-2025-0161;BAT-2025-0161;2023-04-06;2023-04-13;2023-04-23;82;82;TERMINE
OF-2025-0162;CMD-2025-0162;BAT-2025-0162;2022-01-17;2022-01-30;2022-03-01;244;244;TERMINE
OF-2025-0163;CMD-2025-0163;BAT-2025-0163;2023-01-12;2023-01-28;2023-02-20;188;188;TERMINE
OF-2024-0164;CMD-2024-0164;BAT-2024-0164;2023-03-25;2023-04-08;2023-05-27;395;395;TERMINE
OF-2023-0165;CMD-2025-0165;BAT-2023-0165;2025-08-10;2025-08-30;2025-09-14;127;41;EN_COURS
OF-2024-0166;CMD-2024-0166;BAT-2024-0166;2023-05-13;2023-05-20;2023-06-18;235;235;TERMINE
OF-2023-0167;CMD-2025-0167;BAT-2023-0167;2023-07-31;2023-08-28;2023-10-19;422;422;TERMINE
OF-2025-0168;CMD-2023-0168;BAT-2025-0168;2025-03-04;2025-03-16;2025-04-06;169;169;TERMINE
OF-2023-0169;CMD-2025-0169;BAT-2023-0169;2023-04-18;2023-05-02;2023-07-04;509;509;TERMINE
OF-2024-0170;CMD-2023-0170;BAT-2024-0170;2022-06-09;2022-06-24;2022-09-01;553;553;TERMINE
OF-2026-0171;CMD-2025-0171;BAT-2026-0171;2022-08-23;2022-09-01;2022-10-25;432;432;TERMINE
OF-2024-0172;CMD-2023-0172;BAT-2024-0172;2022-07-22;2022-08-18;2022-09-18;255;255;TERMINE
OF-2026-0173;CMD-2025-0173;BAT-2026-0173;2026-01-20;2026-01-27;2026-03-24;454;0;PLANIFIE
OF-2025-0174;CMD-2024-0174;BAT-2025-0174;2023-11-12;2023-12-06;2023-12-26;163;163;TERMINE
OF-2025-0175;CMD-2025-0175;BAT-2025-0175;2025-02-12;2025-03-07;2025-03-22;125;125;TERMINE
OF-2024-0176;CMD-2024-0176;BAT-2024-0176;2022-05-18;2022-06-11;2022-08-08;464;464;TERMINE
OF-2024-0177;CMD-2024-0177;BAT-2024-0177;2023-11-11;2023-11-27;2023-12-13;134;134;TERMINE
OF-2023-0178;CMD-2023-0178;BAT-2023-0178;2022-04-21;2022-05-03;2022-06-09;298;298;TERMINE
OF-2024-0179;CMD-2024-0179;BAT-2024-0179;2022-05-02;2022-05-17;2022-06-07;170;170;TERMINE
OF-2023-0180;CMD-2026-0180;BAT-2023-0180;2022-05-16;2022-06-05;2022-07-31;448;448;TERMINE
OF-2024-0181;CMD-2024-0181;BAT-2024-0181;2022-03-15;2022-04-11;2022-05-17;292;292;TERMINE
OF-2024-0182;CMD-2024-0182;BAT-2024-0182;2026-01-08;2026-01-29;2026-04-12;589;140;EN_COURS
OF-2024-0183;CMD-2024-0183;BAT-2024-0183;2022-03-26;2022-04-06;2022-06-19;595;595;TERMINE
OF-2023-0184;CMD-2025-0184;BAT-2023-0184;2025-10-29;2025-11-06;2025-12-30;432;235;EN_COURS
OF-2023-0185;CMD-2025-0185;BAT-2023-0185;2025-06-05;2025-06-29;2025-08-06;309;46;EN_COURS
OF-2023-0186;CMD-2024-0186;BAT-2023-0186;2024-08-19;2024-09-04;2024-11-01;467;467;TERMINE
OF-2023-0187;CMD-2025-0187;BAT-2023-0187;2023-06-24;2023-07-08;2023-08-22;362;362;TERMINE
OF-2024-0188;CMD-2026-0188;BAT-2024-0188;2022-08-31;2022-09-20;2022-12-01;578;578;TERMINE
OF-2025-0189;CMD-2025-0189;BAT-2025-0189;2024-03-16;2024-04-06;2024-04-21;121;121;TERMINE
OF-2025-0190;CMD-2023-0190;BAT-2025-0190;2024-01-12;2024-01-30;2024-02-16;141;141;TERMINE
OF-2023-0191;CMD-2023-0191;BAT-2023-0191;2024-06-22;2024-07-12;2024-09-10;480;480;TERMINE
OF-2023-0192;CMD-2025-0192;BAT-2023-0192;2023-09-12;2023-10-09;2023-12-06;465;465;TERMINE
OF-2023-0193;CMD-2024-0193;BAT-2023-0193;2022-07-01;2022-07-17;2022-08-14;230;230;TERMINE
OF-2025-0194;CMD-2023-0194;BAT-2025-0194;2025-09-02;2025-09-26;2025-11-16;408;354;EN_COURS
OF-2023-0195;CMD-2023-0195;BAT-2023-0195;2024-12-29;2025-01-28;2025-04-11;584;584;TERMINE
OF-2024-0196;CMD-2025-0196;BAT-2024-0196;2025-12-27;2026-01-05;2026-03-04;469;122;EN_COURS
OF-2024-0197;CMD-2026-0197;BAT-2024-0197;2026-01-14;2026-01-30;2026-04-08;551;384;EN_COURS
OF-2024-0198;CMD-2024-0198;BAT-2024-0198;2022-03-13;2022-04-11;2022-05-21;326;326;TERMINE
OF-2025-0199;CMD-2026-0199;BAT-2025-0199;2026-01-12;2026-01-27;2026-03-25;458;0;TERMINE
OF-2026-0200;CMD-2024-0200;BAT-2026-0200;2023-11-09;2023-11-30;2024-01-30;491;491;TERMINE
OF-2024-0201;CMD-2025-0201;BAT-2024-0201;2024-01-09;2024-01-23;2024-03-28;527;527;TERMINE
OF-2025-0202;CMD-2025-0202;BAT-2025-0202;2022-05-11;2022-05-31;2022-07-06;293;293;TERMINE
OF-2023-0203;CMD-2025-0203;BAT-2023-0203;2025-03-18;2025-04-04;2025-05-23;393;393;TERMINE
OF-2025-0204;CMD-2026-0204;BAT-2025-0204;2025-03-25;2025-04-13;2025-06-12;486;442;EN_COURS
OF-2024-0205;CMD-2026-0205;BAT-2024-0205;2022-10-07;2022-10-21;2022-12-17;456;456;TERMINE
OF-2024-0206;CMD-2025-0206;BAT-2024-0206;2025-08-25;2025-09-18;2025-10-23;280;90;EN_COURS
OF-2025-0207;CMD-2024-0207;BAT-2025-0207;2023-09-25;2023-10-08;2023-10-25;137;137;TERMINE
OF-2023-0208;CMD-2025-0208;BAT-2023-0208;2022-03-03;2022-03-27;2022-04-21;204;204;TERMINE
OF-2024-0209;CMD-2024-0209;BAT-2024-0209;2022-09-04;2022-09-13;2022-11-09;457;457;TERMINE
OF-2025-0210;CMD-2024-0210;BAT-2025-0210;2025-09-09;2025-09-24;2025-10-26;260;0;TERMINE
OF-2026-0211;CMD-2025-0211;BAT-2026-0211;2022-04-10;2022-04-20;2022-07-02;589;589;TERMINE
OF-2023-0212;CMD-2026-0212;BAT-2023-0212;2025-11-17;2025-12-10;2026-02-10;500;458;EN_COURS
OF-2024-0213;CMD-2025-0213;BAT-2024-0213;2025-03-28;2025-04-17;2025-06-17;489;218;EN_COURS
OF-2023-0214;CMD-2025-0214;BAT-2023-0214;2025-07-12;2025-08-10;2025-10-04;445;426;EN_COURS
OF-2025-0215;CMD-2024-0215;BAT-2025-0215;2025-08-22;2025-09-14;2025-09-29;126;0;PLANIFIE
OF-2024-0216;CMD-2023-0216;BAT-2024-0216;2023-01-17;2023-02-03;2023-04-13;554;554;TERMINE
OF-2023-0217;CMD-2023-0217;BAT-2023-0217;2023-03-22;2023-04-10;2023-05-01;168;168;TERMINE
OF-2025-0218;CMD-2025-0218;BAT-2025-0218;2023-12-20;2024-01-18;2024-02-16;237;237;TERMINE
OF-2024-0219;CMD-2025-0219;BAT-2024-0219;2025-03-24;2025-04-23;2025-07-04;576;362;EN_COURS
OF-2024-0220;CMD-2023-0220;BAT-2024-0220;2023-04-26;2023-05-07;2023-06-07;253;253;TERMINE
OF-2024-0221;CMD-2026-0221;BAT-2024-0221;2024-12-05;2024-12-31;2025-02-01;258;258;TERMINE
OF-2024-0222;CMD-2024-0222;BAT-2024-0222;2023-12-27;2024-01-10;2024-02-05;212;212;TERMINE
OF-2023-0223;CMD-2024-0223;BAT-2023-0223;2025-02-02;2025-02-23;2025-03-10;126;126;TERMINE
OF-2024-0224;CMD-2026-0224;BAT-2024-0224;2023-02-14;2023-03-05;2023-03-19;119;119;TERMINE
OF-2024-0225;CMD-2025-0225;BAT-2024-0225;2025-02-17;2025-03-17;2025-04-19;267;267;TERMINE
OF-2024-0226;CMD-2025-0226;BAT-2024-0226;2024-12-29;2025-01-13;2025-03-15;492;492;TERMINE
OF-2024-0227;CMD-2024-0227;BAT-2024-0227;2025-11-15;2025-11-26;2025-12-24;225;192;EN_COURS
OF-2025-0228;CMD-2024-0228;BAT-2025-0228;2025-02-21;2025-03-21;2025-04-19;237;237;TERMINE
OF-2025-0229;CMD-2025-0229;BAT-2025-0229;2023-03-09;2023-03-27;2023-04-12;130;130;TERMINE
OF-2024-0230;CMD-2026-0230;BAT-2024-0230;2022-05-17;2022-06-13;2022-07-07;197;197;TERMINE
